SteamRatio(mol:mol EB),Pressure(bar),Temperature(K),EconomicPotential($/hr)
6.000000,0.800000,865.000000,332.467458
6.000000,0.800000,870.000000,356.429747
6.000000,0.800000,875.000000,376.774598
6.000000,0.800000,880.000000,393.585393
6.000000,0.800000,885.000000,406.965992
6.000000,0.800000,890.000000,417.014861
6.000000,0.800000,895.000000,423.764004
6.000000,0.800000,900.000000,427.336871
6.000000,0.800000,905.000000,427.768742
6.000000,0.800000,910.000000,425.014714
6.000000,0.800000,915.000000,419.079434
6.000000,0.800000,920.000000,410.051963
6.000000,0.800000,925.000000,397.799415
6.000000,0.800000,930.000000,382.329377
6.000000,0.800000,935.000000,363.576284
6.000000,0.800000,940.000000,341.473731
6.000000,0.800000,945.000000,315.913318
6.000000,0.800000,950.000000,286.819943
6.000000,0.900000,800.000000,-512.438711
6.000000,0.900000,805.000000,-412.555156
6.000000,0.900000,810.000000,-320.652460
6.000000,0.900000,815.000000,-236.174829
6.000000,0.900000,820.000000,-158.634505
6.000000,0.900000,825.000000,-87.581080
6.000000,0.900000,830.000000,-22.605621
6.000000,0.900000,835.000000,36.658987
6.000000,0.900000,840.000000,90.546700
6.000000,0.900000,845.000000,139.358183
6.000000,0.900000,850.000000,183.364105
6.000000,0.900000,855.000000,222.809515
6.000000,0.900000,860.000000,257.914891
6.000000,0.900000,865.000000,288.867137
6.000000,0.900000,870.000000,315.849374
6.000000,0.900000,875.000000,339.001070
6.000000,0.900000,880.000000,358.473087
6.000000,0.900000,885.000000,374.355280
6.000000,0.900000,890.000000,386.747889
6.000000,0.900000,895.000000,395.757962
6.000000,0.900000,900.000000,401.395375
6.000000,0.900000,905.000000,403.753975
6.000000,0.900000,910.000000,402.788633
6.000000,0.900000,915.000000,398.635786
6.000000,0.900000,920.000000,391.175014
6.000000,0.900000,925.000000,380.420418
6.000000,0.900000,930.000000,366.353935
6.000000,0.900000,935.000000,348.907016
6.000000,0.900000,940.000000,328.012209
6.000000,0.900000,945.000000,303.595660
6.000000,0.900000,950.000000,275.555455
6.000000,1.000000,800.000000,-612.098852
6.000000,1.000000,805.000000,-505.948411
6.000000,1.000000,810.000000,-408.174122
6.000000,1.000000,815.000000,-318.187671
6.000000,1.000000,820.000000,-235.476064
6.000000,1.000000,825.000000,-159.564224
6.000000,1.000000,830.000000,-90.019439
6.000000,1.000000,835.000000,-26.455777
6.000000,1.000000,840.000000,31.479820
6.000000,1.000000,845.000000,84.104704
6.000000,1.000000,850.000000,131.704704
6.000000,1.000000,855.000000,174.538162
6.000000,1.000000,860.000000,212.837739
6.000000,1.000000,865.000000,246.797069
6.000000,1.000000,870.000000,276.617255
6.000000,1.000000,875.000000,302.462368
6.000000,1.000000,880.000000,324.437192
6.000000,1.000000,885.000000,342.673377
6.000000,1.000000,890.000000,357.361418
6.000000,1.000000,895.000000,368.424760
6.000000,1.000000,900.000000,376.087449
6.000000,1.000000,905.000000,380.311669
6.000000,1.000000,910.000000,381.098293
6.000000,1.000000,915.000000,378.580488
6.000000,1.000000,920.000000,372.665405
6.000000,1.000000,925.000000,363.338713
6.000000,1.000000,930.000000,350.643569
6.000000,1.000000,935.000000,334.469888
6.000000,1.000000,940.000000,314.731653
6.000000,1.000000,945.000000,291.441363
6.000000,1.000000,950.000000,264.402306
6.000000,1.100000,800.000000,-707.383527
6.000000,1.100000,805.000000,-595.299034
6.000000,1.100000,810.000000,-491.954069
6.000000,1.100000,815.000000,-396.747420
6.000000,1.100000,820.000000,-309.138985
6.000000,1.100000,825.000000,-228.620606
6.000000,1.100000,830.000000,-154.746169
6.000000,1.100000,835.000000,-87.108521
6.000000,1.100000,840.000000,-25.336235
6.000000,1.100000,845.000000,30.904101
6.000000,1.100000,850.000000,81.912910
6.000000,1.100000,855.000000,127.961329
6.000000,1.100000,860.000000,169.293735
6.000000,1.100000,865.000000,206.122935
6.000000,1.100000,870.000000,238.644302
6.000000,1.100000,875.000000,267.028494
6.000000,1.100000,880.000000,291.410916
6.000000,1.100000,885.000000,311.963113
6.000000,1.100000,890.000000,328.701784
6.000000,1.100000,895.000000,341.854812
6.000000,1.100000,900.000000,351.391361
6.000000,1.100000,905.000000,357.406240
6.000000,1.100000,910.000000,359.904477
6.000000,1.100000,915.000000,358.955590
6.000000,1.100000,920.000000,354.490974
6.000000,1.100000,925.000000,346.623539
6.000000,1.100000,930.000000,335.203652
6.000000,1.100000,935.000000,320.249581
6.000000,1.100000,940.000000,301.667332
6.000000,1.100000,945.000000,279.454592
6.000000,1.100000,950.000000,253.416203
6.000000,1.200000,800.000000,-798.822928
6.000000,1.200000,805.000000,-681.080658
6.000000,1.200000,810.000000,-572.434725
6.000000,1.200000,815.000000,-472.256662
6.000000,1.200000,820.000000,-379.982978
6.000000,1.200000,825.000000,-295.080600
6.000000,1.200000,830.000000,-217.085802
6.000000,1.200000,835.000000,-145.566685
6.000000,1.200000,840.000000,-80.140702
6.000000,1.200000,845.000000,-20.456739
6.000000,1.200000,850.000000,33.799720
6.000000,1.200000,855.000000,82.912180
6.000000,1.200000,860.000000,127.136334
6.000000,1.200000,865.000000,166.694188
6.000000,1.200000,870.000000,201.793862
6.000000,1.200000,875.000000,232.569383
6.000000,1.200000,880.000000,259.314704
6.000000,1.200000,885.000000,281.977102
6.000000,1.200000,890.000000,300.856900
6.000000,1.200000,895.000000,315.912712
6.000000,1.200000,900.000000,327.265089
6.000000,1.200000,905.000000,335.006272
6.000000,1.200000,910.000000,339.133307
6.000000,1.200000,915.000000,339.664540
6.000000,1.200000,920.000000,336.714873
6.000000,1.200000,925.000000,330.162560
6.000000,1.200000,930.000000,320.020639
6.000000,1.200000,935.000000,306.253875
6.000000,1.200000,940.000000,288.812465
6.000000,1.200000,945.000000,267.618536
6.000000,1.200000,950.000000,242.587131
6.000000,1.300000,800.000000,-886.857166
6.000000,1.300000,805.000000,-763.693658
6.000000,1.300000,810.000000,-649.977644
6.000000,1.300000,815.000000,-545.050898
6.000000,1.300000,820.000000,-448.310748
6.000000,1.300000,825.000000,-359.216744
6.000000,1.300000,830.000000,-277.281091
6.000000,1.300000,835.000000,-202.052531
